fee,script,step,tick_before,tick_after,timestamp,action_int,action_name,action_valid,position_before,position_after,price_used_open,entry_price_open,unrealized_pnl,total_profit_realized,total_profit_delta,unrealized_pnl_before_step,reward,total_reward,terminated,truncated
0.0,t1_all_hold,0,1,2,2026-06-01 02:00:00+00:00,0,Hold,True,Neutral,Neutral,81.0,,0.0,1.0,0.0,0.0,-1.0,-1.0,False,False
0.0,t1_all_hold,1,2,3,2026-06-01 03:00:00+00:00,0,Hold,True,Neutral,Neutral,72.9,,0.0,1.0,0.0,0.0,-1.0,-2.0,False,False
0.0,t1_all_hold,2,3,4,2026-06-01 04:00:00+00:00,0,Hold,True,Neutral,Neutral,65.61,,0.0,1.0,0.0,0.0,-1.0,-3.0,False,False
0.0,t1_all_hold,3,4,5,2026-06-01 05:00:00+00:00,0,Hold,True,Neutral,Neutral,59.04900000000001,,0.0,1.0,0.0,0.0,-1.0,-4.0,False,False
0.0,t1_all_hold,4,5,6,2026-06-01 06:00:00+00:00,0,Hold,True,Neutral,Neutral,53.14410000000001,,0.0,1.0,0.0,0.0,-1.0,-5.0,False,False
0.0,t1_all_hold,5,6,7,2026-06-01 07:00:00+00:00,0,Hold,True,Neutral,Neutral,47.82969000000001,,0.0,1.0,0.0,0.0,-1.0,-6.0,False,False
0.0,t1_all_hold,6,7,8,2026-06-01 08:00:00+00:00,0,Hold,True,Neutral,Neutral,43.04672100000001,,0.0,1.0,0.0,0.0,-1.0,-7.0,False,False
0.0,t1_all_hold,7,8,9,2026-06-01 09:00:00+00:00,0,Hold,True,Neutral,Neutral,38.74204890000001,,0.0,1.0,0.0,0.0,-1.0,-8.0,False,False
0.0,t1_all_hold,8,9,10,2026-06-01 10:00:00+00:00,0,Hold,True,Neutral,Neutral,34.86784401000001,,0.0,1.0,0.0,0.0,-1.0,-9.0,False,False
0.0,t1_all_hold,9,10,11,2026-06-01 11:00:00+00:00,0,Hold,True,Neutral,Neutral,31.381059609000005,,0.0,1.0,0.0,0.0,-1.0,-10.0,False,False
0.0,t1_all_hold,10,11,12,2026-06-01 12:00:00+00:00,0,Hold,True,Neutral,Neutral,28.242953648100013,,0.0,1.0,0.0,0.0,-1.0,-11.0,False,False
0.0,t1_all_hold,11,12,13,2026-06-01 13:00:00+00:00,0,Hold,True,Neutral,Neutral,25.418658283290007,,0.0,1.0,0.0,0.0,-1.0,-12.0,False,False
0.0,t1_all_hold,12,13,14,2026-06-01 14:00:00+00:00,0,Hold,True,Neutral,Neutral,22.87679245496101,,0.0,1.0,0.0,0.0,-1.0,-13.0,False,False
0.0,t1_all_hold,13,14,15,2026-06-01 15:00:00+00:00,0,Hold,True,Neutral,Neutral,20.58911320946491,,0.0,1.0,0.0,0.0,-1.0,-14.0,False,False
0.0,t1_all_hold,14,15,16,2026-06-01 16:00:00+00:00,0,Hold,True,Neutral,Neutral,18.530201888518416,,0.0,1.0,0.0,0.0,-1.0,-15.0,False,False
0.0,t1_all_hold,15,16,17,2026-06-01 17:00:00+00:00,0,Hold,True,Neutral,Neutral,16.677181699666576,,0.0,1.0,0.0,0.0,-1.0,-16.0,False,False
0.0,t1_all_hold,16,17,18,2026-06-01 18:00:00+00:00,0,Hold,True,Neutral,Neutral,15.009463529699918,,0.0,1.0,0.0,0.0,-1.0,-17.0,False,False
0.0,t1_all_hold,17,18,19,2026-06-01 19:00:00+00:00,0,Hold,True,Neutral,Neutral,13.508517176729928,,0.0,1.0,0.0,0.0,-1.0,-18.0,False,False
0.0,t1_all_hold,18,19,20,2026-06-01 20:00:00+00:00,0,Hold,True,Neutral,Neutral,12.157665459056934,,0.0,1.0,0.0,0.0,-1.0,-19.0,False,False
0.0,t1_all_hold,19,20,21,2026-06-01 21:00:00+00:00,0,Hold,True,Neutral,Neutral,10.941898913151242,,0.0,1.0,0.0,0.0,-1.0,-20.0,False,False
0.0,t1_all_hold,20,21,22,2026-06-01 22:00:00+00:00,0,Hold,True,Neutral,Neutral,9.847709021836119,,0.0,1.0,0.0,0.0,-1.0,-21.0,False,False
0.0,t1_all_hold,21,22,23,2026-06-01 23:00:00+00:00,0,Hold,True,Neutral,Neutral,8.862938119652506,,0.0,1.0,0.0,0.0,-1.0,-22.0,False,False
0.0,t1_all_hold,22,23,24,2026-06-02 00:00:00+00:00,0,Hold,True,Neutral,Neutral,7.9766443076872555,,0.0,1.0,0.0,0.0,-1.0,-23.0,False,False
0.0,t1_all_hold,23,24,25,2026-06-02 01:00:00+00:00,0,Hold,True,Neutral,Neutral,7.17897987691853,,0.0,1.0,0.0,0.0,-1.0,-24.0,False,False
0.0,t1_all_hold,24,25,26,2026-06-02 02:00:00+00:00,0,Hold,True,Neutral,Neutral,6.461081889226677,,0.0,1.0,0.0,0.0,-1.0,-25.0,False,False
0.0,t1_all_hold,25,26,27,2026-06-02 03:00:00+00:00,0,Hold,True,Neutral,Neutral,5.81497370030401,,0.0,1.0,0.0,0.0,-1.0,-26.0,False,False
0.0,t1_all_hold,26,27,28,2026-06-02 04:00:00+00:00,0,Hold,True,Neutral,Neutral,5.233476330273609,,0.0,1.0,0.0,0.0,-1.0,-27.0,False,False
