fee,script,step,tick_before,tick_after,timestamp,action_int,action_name,action_valid,position_before,position_after,price_used_open,entry_price_open,unrealized_pnl,total_profit_realized,total_profit_delta,unrealized_pnl_before_step,reward,total_reward,terminated,truncated
0.001,t1_all_hold,0,1,2,2026-06-01 02:00:00+00:00,0,Hold,True,Neutral,Neutral,121.00000000000001,,0.0,1.0,0.0,0.0,-1.0,-1.0,False,False
0.001,t1_all_hold,1,2,3,2026-06-01 03:00:00+00:00,0,Hold,True,Neutral,Neutral,133.10000000000005,,0.0,1.0,0.0,0.0,-1.0,-2.0,False,False
0.001,t1_all_hold,2,3,4,2026-06-01 04:00:00+00:00,0,Hold,True,Neutral,Neutral,146.41000000000005,,0.0,1.0,0.0,0.0,-1.0,-3.0,False,False
0.001,t1_all_hold,3,4,5,2026-06-01 05:00:00+00:00,0,Hold,True,Neutral,Neutral,161.05100000000004,,0.0,1.0,0.0,0.0,-1.0,-4.0,False,False
0.001,t1_all_hold,4,5,6,2026-06-01 06:00:00+00:00,0,Hold,True,Neutral,Neutral,177.1561000000001,,0.0,1.0,0.0,0.0,-1.0,-5.0,False,False
0.001,t1_all_hold,5,6,7,2026-06-01 07:00:00+00:00,0,Hold,True,Neutral,Neutral,194.87171000000012,,0.0,1.0,0.0,0.0,-1.0,-6.0,False,False
0.001,t1_all_hold,6,7,8,2026-06-01 08:00:00+00:00,0,Hold,True,Neutral,Neutral,214.35888100000017,,0.0,1.0,0.0,0.0,-1.0,-7.0,False,False
0.001,t1_all_hold,7,8,9,2026-06-01 09:00:00+00:00,0,Hold,True,Neutral,Neutral,235.7947691000002,,0.0,1.0,0.0,0.0,-1.0,-8.0,False,False
0.001,t1_all_hold,8,9,10,2026-06-01 10:00:00+00:00,0,Hold,True,Neutral,Neutral,259.3742460100002,,0.0,1.0,0.0,0.0,-1.0,-9.0,False,False
0.001,t1_all_hold,9,10,11,2026-06-01 11:00:00+00:00,0,Hold,True,Neutral,Neutral,285.31167061100024,,0.0,1.0,0.0,0.0,-1.0,-10.0,False,False
0.001,t1_all_hold,10,11,12,2026-06-01 12:00:00+00:00,0,Hold,True,Neutral,Neutral,313.8428376721003,,0.0,1.0,0.0,0.0,-1.0,-11.0,False,False
0.001,t1_all_hold,11,12,13,2026-06-01 13:00:00+00:00,0,Hold,True,Neutral,Neutral,345.2271214393104,,0.0,1.0,0.0,0.0,-1.0,-12.0,False,False
0.001,t1_all_hold,12,13,14,2026-06-01 14:00:00+00:00,0,Hold,True,Neutral,Neutral,379.7498335832414,,0.0,1.0,0.0,0.0,-1.0,-13.0,False,False
0.001,t1_all_hold,13,14,15,2026-06-01 15:00:00+00:00,0,Hold,True,Neutral,Neutral,417.7248169415656,,0.0,1.0,0.0,0.0,-1.0,-14.0,False,False
0.001,t1_all_hold,14,15,16,2026-06-01 16:00:00+00:00,0,Hold,True,Neutral,Neutral,459.4972986357222,,0.0,1.0,0.0,0.0,-1.0,-15.0,False,False
0.001,t1_all_hold,15,16,17,2026-06-01 17:00:00+00:00,0,Hold,True,Neutral,Neutral,505.4470284992945,,0.0,1.0,0.0,0.0,-1.0,-16.0,False,False
0.001,t1_all_hold,16,17,18,2026-06-01 18:00:00+00:00,0,Hold,True,Neutral,Neutral,555.991731349224,,0.0,1.0,0.0,0.0,-1.0,-17.0,False,False
0.001,t1_all_hold,17,18,19,2026-06-01 19:00:00+00:00,0,Hold,True,Neutral,Neutral,611.5909044841464,,0.0,1.0,0.0,0.0,-1.0,-18.0,False,False
