fee,script,step,tick_before,tick_after,timestamp,action_int,action_name,action_valid,position_before,position_after,price_used_open,entry_price_open,unrealized_pnl,total_profit_realized,total_profit_delta,unrealized_pnl_before_step,reward,total_reward,terminated,truncated
0.001,t1_all_hold,0,1,2,2026-06-01 02:00:00+00:00,0,Hold,True,Neutral,Neutral,90.0,,0.0,1.0,0.0,0.0,-1.0,-1.0,False,False
0.001,t1_all_hold,1,2,3,2026-06-01 03:00:00+00:00,0,Hold,True,Neutral,Neutral,120.0,,0.0,1.0,0.0,0.0,-1.0,-2.0,False,False
0.001,t1_all_hold,2,3,4,2026-06-01 04:00:00+00:00,0,Hold,True,Neutral,Neutral,80.0,,0.0,1.0,0.0,0.0,-1.0,-3.0,False,False
0.001,t1_all_hold,3,4,5,2026-06-01 05:00:00+00:00,0,Hold,True,Neutral,Neutral,130.0,,0.0,1.0,0.0,0.0,-1.0,-4.0,False,False
0.001,t1_all_hold,4,5,6,2026-06-01 06:00:00+00:00,0,Hold,True,Neutral,Neutral,100.0,,0.0,1.0,0.0,0.0,-1.0,-5.0,False,False
0.001,t1_all_hold,5,6,7,2026-06-01 07:00:00+00:00,0,Hold,True,Neutral,Neutral,110.0,,0.0,1.0,0.0,0.0,-1.0,-6.0,False,False
0.001,t1_all_hold,6,7,8,2026-06-01 08:00:00+00:00,0,Hold,True,Neutral,Neutral,90.0,,0.0,1.0,0.0,0.0,-1.0,-7.0,False,False
0.001,t1_all_hold,7,8,9,2026-06-01 09:00:00+00:00,0,Hold,True,Neutral,Neutral,120.0,,0.0,1.0,0.0,0.0,-1.0,-8.0,False,False
0.001,t1_all_hold,8,9,10,2026-06-01 10:00:00+00:00,0,Hold,True,Neutral,Neutral,80.0,,0.0,1.0,0.0,0.0,-1.0,-9.0,False,False
0.001,t1_all_hold,9,10,11,2026-06-01 11:00:00+00:00,0,Hold,True,Neutral,Neutral,130.0,,0.0,1.0,0.0,0.0,-1.0,-10.0,False,False
0.001,t1_all_hold,10,11,12,2026-06-01 12:00:00+00:00,0,Hold,True,Neutral,Neutral,100.0,,0.0,1.0,0.0,0.0,-1.0,-11.0,False,False
