seq,script,step,decision_time,execution_time,target_position,actual_position,trade_direction,raw_open,exec_price,fee_paid,slippage_cost,notional,qty,cash,btc,equity_start,equity_end,reward,reward_raw,cum_reward_raw,terminated,truncated,terminal_liquidation
falling,s1_flat0,0,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,0,0,hold,90.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,1,2026-06-01 01:00:00+00:00,2026-06-01 02:00:00+00:00,0,0,hold,81.0,81.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,2,2026-06-01 02:00:00+00:00,2026-06-01 03:00:00+00:00,0,0,hold,72.9,72.9,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,3,2026-06-01 03:00:00+00:00,2026-06-01 04:00:00+00:00,0,0,hold,65.61,65.61,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,4,2026-06-01 04:00:00+00:00,2026-06-01 05:00:00+00:00,0,0,hold,59.04900000000001,59.04900000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,5,2026-06-01 05:00:00+00:00,2026-06-01 06:00:00+00:00,0,0,hold,53.14410000000001,53.14410000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,6,2026-06-01 06:00:00+00:00,2026-06-01 07:00:00+00:00,0,0,hold,47.82969000000001,47.82969000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,7,2026-06-01 07:00:00+00:00,2026-06-01 08:00:00+00:00,0,0,hold,43.04672100000001,43.04672100000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,8,2026-06-01 08:00:00+00:00,2026-06-01 09:00:00+00:00,0,0,hold,38.74204890000001,38.74204890000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,9,2026-06-01 09:00:00+00:00,2026-06-01 10:00:00+00:00,0,0,hold,34.86784401000001,34.86784401000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,10,2026-06-01 10:00:00+00:00,2026-06-01 11:00:00+00:00,0,0,hold,31.381059609000005,31.381059609000005,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,11,2026-06-01 11:00:00+00:00,2026-06-01 12:00:00+00:00,0,0,hold,28.242953648100013,28.242953648100013,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,12,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,0,0,hold,25.418658283290007,25.418658283290007,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,13,2026-06-01 13:00:00+00:00,2026-06-01 14:00:00+00:00,0,0,hold,22.87679245496101,22.87679245496101,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,14,2026-06-01 14:00:00+00:00,2026-06-01 15:00:00+00:00,0,0,hold,20.58911320946491,20.58911320946491,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,15,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,0,0,hold,18.530201888518416,18.530201888518416,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,16,2026-06-01 16:00:00+00:00,2026-06-01 17:00:00+00:00,0,0,hold,16.677181699666576,16.677181699666576,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,17,2026-06-01 17:00:00+00:00,2026-06-01 18:00:00+00:00,0,0,hold,15.009463529699918,15.009463529699918,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,18,2026-06-01 18:00:00+00:00,2026-06-01 19:00:00+00:00,0,0,hold,13.508517176729928,13.508517176729928,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,19,2026-06-01 19:00:00+00:00,2026-06-01 20:00:00+00:00,0,0,hold,12.157665459056934,12.157665459056934,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,20,2026-06-01 20:00:00+00:00,2026-06-01 21:00:00+00:00,0,0,hold,10.941898913151242,10.941898913151242,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,21,2026-06-01 21:00:00+00:00,2026-06-01 22:00:00+00:00,0,0,hold,9.847709021836119,9.847709021836119,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,22,2026-06-01 22:00:00+00:00,2026-06-01 23:00:00+00:00,0,0,hold,8.862938119652506,8.862938119652506,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,23,2026-06-01 23:00:00+00:00,2026-06-02 00:00:00+00:00,0,0,hold,7.9766443076872555,7.9766443076872555,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,24,2026-06-02 00:00:00+00:00,2026-06-02 01:00:00+00:00,0,0,hold,7.17897987691853,7.17897987691853,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,25,2026-06-02 01:00:00+00:00,2026-06-02 02:00:00+00:00,0,0,hold,6.461081889226677,6.461081889226677,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,26,2026-06-02 02:00:00+00:00,2026-06-02 03:00:00+00:00,0,0,hold,5.81497370030401,5.81497370030401,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,27,2026-06-02 03:00:00+00:00,2026-06-02 04:00:00+00:00,0,0,hold,5.233476330273609,5.233476330273609,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
falling,s1_flat0,28,2026-06-02 04:00:00+00:00,2026-06-02 05:00:00+00:00,0,0,hold,4.710128697246248,4.710128697246248,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,True,False,False
falling,s2_flat1,0,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,1,1,buy,90.0,90.0,0.09990009990009992,0.0,99.90009990009992,1.1100011100011102,0.0,1.1100011100011102,100.0,99.90009990009992,-0.000999500333083388,-0.000999500333083388,-0.000999500333083388,False,False,False
falling,s2_flat1,1,2026-06-01 01:00:00+00:00,2026-06-01 02:00:00+00:00,1,1,hold,81.0,81.0,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,99.90009990009992,89.91008991008992,-0.10536051565782628,-0.10536051565782628,-0.10636001599090968,False,False,False
falling,s2_flat1,2,2026-06-01 02:00:00+00:00,2026-06-01 03:00:00+00:00,1,1,hold,72.9,72.9,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,89.91008991008992,80.91908091908094,-0.10536051565782616,-0.10536051565782616,-0.21172053164873583,False,False,False
falling,s2_flat1,3,2026-06-01 03:00:00+00:00,2026-06-01 04:00:00+00:00,1,1,hold,65.61,65.61,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,80.91908091908094,72.82717282717284,-0.10536051565782628,-0.10536051565782628,-0.3170810473065621,False,False,False
falling,s2_flat1,4,2026-06-01 04:00:00+00:00,2026-06-01 05:00:00+00:00,1,1,hold,59.04900000000001,59.04900000000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,72.82717282717284,65.54445554445556,-0.10536051565782628,-0.10536051565782628,-0.4224415629643884,False,False,False
falling,s2_flat1,5,2026-06-01 05:00:00+00:00,2026-06-01 06:00:00+00:00,1,1,hold,53.14410000000001,53.14410000000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,65.54445554445556,58.99000999001001,-0.10536051565782616,-0.10536051565782616,-0.5278020786222145,False,False,False
falling,s2_flat1,6,2026-06-01 06:00:00+00:00,2026-06-01 07:00:00+00:00,1,1,hold,47.82969000000001,47.82969000000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,58.99000999001001,53.09100899100901,-0.10536051565782628,-0.10536051565782628,-0.6331625942800407,False,False,False
falling,s2_flat1,7,2026-06-01 07:00:00+00:00,2026-06-01 08:00:00+00:00,1,1,hold,43.04672100000001,43.04672100000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,53.09100899100901,47.781908091908114,-0.10536051565782628,-0.10536051565782628,-0.7385231099378671,False,False,False
falling,s2_flat1,8,2026-06-01 08:00:00+00:00,2026-06-01 09:00:00+00:00,1,1,hold,38.74204890000001,38.74204890000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,47.781908091908114,43.0037172827173,-0.1053605156578264,-0.1053605156578264,-0.8438836255956935,False,False,False
falling,s2_flat1,9,2026-06-01 09:00:00+00:00,2026-06-01 10:00:00+00:00,1,1,hold,34.86784401000001,34.86784401000001,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,43.0037172827173,38.703345554445576,-0.10536051565782603,-0.10536051565782603,-0.9492441412535195,False,False,False
falling,s2_flat1,10,2026-06-01 10:00:00+00:00,2026-06-01 11:00:00+00:00,1,1,hold,31.381059609000005,31.381059609000005,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,38.703345554445576,34.83301099900101,-0.10536051565782652,-0.10536051565782652,-1.054604656911346,False,False,False
falling,s2_flat1,11,2026-06-01 11:00:00+00:00,2026-06-01 12:00:00+00:00,1,1,hold,28.242953648100013,28.242953648100013,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,34.83301099900101,31.34970989910092,-0.10536051565782603,-0.10536051565782603,-1.1599651725691722,False,False,False
falling,s2_flat1,12,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,1,1,hold,25.418658283290007,25.418658283290007,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,31.34970989910092,28.214738909190825,-0.1053605156578264,-0.1053605156578264,-1.2653256882269985,False,False,False
falling,s2_flat1,13,2026-06-01 13:00:00+00:00,2026-06-01 14:00:00+00:00,1,1,hold,22.87679245496101,22.87679245496101,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,28.214738909190825,25.393265018271745,-0.10536051565782616,-0.10536051565782616,-1.3706862038848246,False,False,False
falling,s2_flat1,14,2026-06-01 14:00:00+00:00,2026-06-01 15:00:00+00:00,1,1,hold,20.58911320946491,20.58911320946491,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,25.393265018271745,22.85393851644457,-0.1053605156578264,-0.1053605156578264,-1.476046719542651,False,False,False
falling,s2_flat1,15,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,1,1,hold,18.530201888518416,18.530201888518416,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,22.85393851644457,20.56854466480011,-0.10536051565782628,-0.10536051565782628,-1.5814072352004773,False,False,False
falling,s2_flat1,16,2026-06-01 16:00:00+00:00,2026-06-01 17:00:00+00:00,1,1,hold,16.677181699666576,16.677181699666576,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,20.56854466480011,18.511690198320103,-0.10536051565782616,-0.10536051565782616,-1.6867677508583034,False,False,False
falling,s2_flat1,17,2026-06-01 17:00:00+00:00,2026-06-01 18:00:00+00:00,1,1,hold,15.009463529699918,15.009463529699918,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,18.511690198320103,16.66052117848809,-0.10536051565782652,-0.10536051565782652,-1.79212826651613,False,False,False
falling,s2_flat1,18,2026-06-01 18:00:00+00:00,2026-06-01 19:00:00+00:00,1,1,hold,13.508517176729928,13.508517176729928,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,16.66052117848809,14.994469060639284,-0.10536051565782603,-0.10536051565782603,-1.8974887821739561,False,False,False
falling,s2_flat1,19,2026-06-01 19:00:00+00:00,2026-06-01 20:00:00+00:00,1,1,hold,12.157665459056934,12.157665459056934,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,14.994469060639284,13.495022154575354,-0.1053605156578264,-0.1053605156578264,-2.0028492978317827,False,False,False
falling,s2_flat1,20,2026-06-01 20:00:00+00:00,2026-06-01 21:00:00+00:00,1,1,hold,10.941898913151242,10.941898913151242,0.0,0.0,0.0,0.0,0.0,1.1100011100011102,13.495022154575354,12.14551993911782,-0.10536051565782616,-0.10536051565782616,-2.108209813489609,False,False,False
