seq,script,step,decision_time,execution_time,target_position,actual_position,trade_direction,raw_open,exec_price,fee_paid,slippage_cost,notional,qty,cash,btc,equity_start,equity_end,reward,reward_raw,cum_reward_raw,terminated,truncated,terminal_liquidation
rising,s1_flat0,0,2026-06-01 00:00:00+00:00,2026-06-01 01:00:00+00:00,0,0,hold,110.00000000000001,110.00000000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,1,2026-06-01 01:00:00+00:00,2026-06-01 02:00:00+00:00,0,0,hold,121.00000000000001,121.00000000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,2,2026-06-01 02:00:00+00:00,2026-06-01 03:00:00+00:00,0,0,hold,133.10000000000005,133.10000000000005,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,3,2026-06-01 03:00:00+00:00,2026-06-01 04:00:00+00:00,0,0,hold,146.41000000000005,146.41000000000005,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,4,2026-06-01 04:00:00+00:00,2026-06-01 05:00:00+00:00,0,0,hold,161.05100000000004,161.05100000000004,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,5,2026-06-01 05:00:00+00:00,2026-06-01 06:00:00+00:00,0,0,hold,177.1561000000001,177.1561000000001,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,6,2026-06-01 06:00:00+00:00,2026-06-01 07:00:00+00:00,0,0,hold,194.87171000000012,194.87171000000012,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,7,2026-06-01 07:00:00+00:00,2026-06-01 08:00:00+00:00,0,0,hold,214.35888100000017,214.35888100000017,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,8,2026-06-01 08:00:00+00:00,2026-06-01 09:00:00+00:00,0,0,hold,235.7947691000002,235.7947691000002,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,9,2026-06-01 09:00:00+00:00,2026-06-01 10:00:00+00:00,0,0,hold,259.3742460100002,259.3742460100002,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,10,2026-06-01 10:00:00+00:00,2026-06-01 11:00:00+00:00,0,0,hold,285.31167061100024,285.31167061100024,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,11,2026-06-01 11:00:00+00:00,2026-06-01 12:00:00+00:00,0,0,hold,313.8428376721003,313.8428376721003,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,12,2026-06-01 12:00:00+00:00,2026-06-01 13:00:00+00:00,0,0,hold,345.2271214393104,345.2271214393104,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,13,2026-06-01 13:00:00+00:00,2026-06-01 14:00:00+00:00,0,0,hold,379.7498335832414,379.7498335832414,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,14,2026-06-01 14:00:00+00:00,2026-06-01 15:00:00+00:00,0,0,hold,417.7248169415656,417.7248169415656,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,15,2026-06-01 15:00:00+00:00,2026-06-01 16:00:00+00:00,0,0,hold,459.4972986357222,459.4972986357222,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,16,2026-06-01 16:00:00+00:00,2026-06-01 17:00:00+00:00,0,0,hold,505.4470284992945,505.4470284992945,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,17,2026-06-01 17:00:00+00:00,2026-06-01 18:00:00+00:00,0,0,hold,555.991731349224,555.991731349224,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,18,2026-06-01 18:00:00+00:00,2026-06-01 19:00:00+00:00,0,0,hold,611.5909044841464,611.5909044841464,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,19,2026-06-01 19:00:00+00:00,2026-06-01 20:00:00+00:00,0,0,hold,672.7499949325611,672.7499949325611,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,20,2026-06-01 20:00:00+00:00,2026-06-01 21:00:00+00:00,0,0,hold,740.0249944258172,740.0249944258172,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,21,2026-06-01 21:00:00+00:00,2026-06-01 22:00:00+00:00,0,0,hold,814.0274938683991,814.0274938683991,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,22,2026-06-01 22:00:00+00:00,2026-06-01 23:00:00+00:00,0,0,hold,895.430243255239,895.430243255239,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,23,2026-06-01 23:00:00+00:00,2026-06-02 00:00:00+00:00,0,0,hold,984.9732675807629,984.9732675807629,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,24,2026-06-02 00:00:00+00:00,2026-06-02 01:00:00+00:00,0,0,hold,1083.4705943388394,1083.4705943388394,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
rising,s1_flat0,25,2026-06-02 01:00:00+00:00,2026-06-02 02:00:00+00:00,0,0,hold,1191.8176537727234,1191.8176537727234,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,False,False,False
