
Name              Id WS_MB Priv_MB StartUTC            
----              -- ----- ------- --------            
powershell    115796 122.8   102.9 2026-09-06 12:38:35Z
python        137912    84    65.3 2026-09-06 11:57:28Z
python        110848  76.4      59 2026-09-06 12:37:33Z
python        123124  76.4    58.7 2026-09-06 12:07:35Z
wslservice      6324    50    33.4 n/a                 
python         57744  14.6       9 2026-09-06 12:30:20Z
bash          141912  12.2       7 2026-09-06 12:38:35Z
bash           70672  11.3       6 2026-09-06 12:30:20Z
bash          135544    10     6.7 2026-09-06 12:38:35Z
bash           95356   7.3     1.5 2026-09-06 12:30:20Z
bash           77520   7.3     1.6 2026-09-06 12:38:34Z
python        137488   4.8     0.8 2026-09-06 12:07:35Z
python         37980   4.8     0.8 2026-09-06 11:57:28Z
python        140056   4.7     0.8 2026-09-06 12:37:33Z
bash          111308   1.6     5.8 2026-08-29 06:31:28Z
bash            9008   1.4     5.8 2026-08-29 06:31:28Z
vmmemCmZygote      8     0     839 n/a                 



